Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Steven Adams,C,26,OKC,23,23,27.3,4.8,7.9,0.604,0,0,0,4.8,7.9,0.608,0.604,1.5,3,0.515,3.3,6.3,9.6,2.7,0.4,1.3,1.5,1.9,11.1
2,Bam Adebayo,C,22,MIA,27,27,34.1,5.7,9.9,0.573,0,0.3,0.111,5.6,9.6,0.589,0.575,3.8,5.8,0.656,2.5,8.2,10.7,4.6,1.4,1.3,2.9,2.8,15.2
3,LaMarcus Aldridge,C,34,SAS,24,24,33.6,7.5,15.1,0.5,0.6,1.7,0.341,7,13.4,0.52,0.519,3.1,3.8,0.824,2,5.3,7.3,2.5,0.6,1.8,1.5,2.3,18.8
4,Nickeil Alexander-Walker,SG,21,NOP,23,0,14.1,2.3,6.7,0.342,1.2,3.6,0.337,1.1,3.1,0.347,0.432,0.5,0.7,0.688,0.2,2,2.2,1.9,0.4,0.1,1.1,1.2,6.3
5,Grayson Allen,SG,24,MEM,13,0,18.9,2.9,7.1,0.413,1.2,3.3,0.349,1.8,3.8,0.469,0.495,1.2,1.3,0.882,0.2,2.8,2.9,1.5,0.4,0.1,1.2,1.6,8.2
6,Jarrett Allen,C,21,BRK,27,24,26.6,4.9,7.3,0.665,0,0,0,4.9,7.3,0.668,0.665,2.6,4.3,0.609,3.6,6.9,10.6,1.2,0.7,1.4,1.2,2.5,12.3
7,Kadeem Allen,SG,27,NYK,1,0,16,3,6,0.5,3,4,0.75,0,2,0,0.75,0,0,,0,0,0,2,1,0,1,1,9
8,Al-Farouq Aminu,PF,29,ORL,18,2,21.1,1.4,4.8,0.291,0.5,2,0.25,0.9,2.8,0.32,0.343,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1,0.4,0.9,1.5,4.3
9,Kyle Anderson,PF,26,MEM,21,1,20,2.5,5.1,0.481,0.2,0.8,0.235,2.3,4.3,0.527,0.5,0.9,1.5,0.594,1,3.4,4.5,2.4,0.8,0.6,1,1.7,6
10,Ryan Anderson,PF,31,HOU,2,0,7,1,3.5,0.286,0.5,2.5,0.2,0.5,1,0.5,0.357,0,0,,0,3.5,3.5,1,0.5,0,0.5,0.5,2.5
11,Giannis Antetokounmpo,PF,25,MIL,27,27,31.2,11.7,20.8,0.564,1.6,5.1,0.321,10.1,15.7,0.642,0.603,6.6,11,0.598,2.7,10.1,12.8,5.3,1.3,1.2,3.7,3.1,31.7
12,Kostas Antetokounmpo,PF,22,LAL,2,0,1.5,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,0,0,0,0,0,0
13,Thanasis Antetokounmpo,SF,27,MIL,5,0,5,1.2,2,0.6,0,0,,1.2,2,0.6,0.6,0.4,0.8,0.5,0.6,0,0.6,0.8,0,0,0.4,0.6,2.8
14,Carmelo Anthony,PF,35,POR,13,13,31.8,6.2,14.8,0.422,1.8,4.2,0.426,4.5,10.6,0.42,0.482,2.5,3.2,0.805,0.9,5.2,6.1,1.3,1.3,0.6,2.1,3.1,16.8
15,OG Anunoby,SF,22,TOR,25,25,29.7,4.4,8.7,0.505,1.4,3.7,0.387,3,5,0.592,0.587,0.8,1.3,0.606,1,4.6,5.6,1.7,1.3,0.9,1.2,2.4,11
16,Ryan Arcidiacono,PG,25,CHI,29,0,15.7,1.4,3.6,0.39,0.9,2.2,0.413,0.5,1.4,0.357,0.514,0.6,0.8,0.773,0.5,1.1,1.6,1.5,0.5,0.1,0.6,1.9,4.3
17,Trevor Ariza,SF,34,SAC,20,0,22.7,1.7,4.7,0.366,1.2,3.5,0.348,0.5,1.2,0.417,0.495,0.5,0.7,0.769,0.5,3.4,3.9,1.2,1,0.3,0.9,1.7,5.1
18,D.J. Augustin,PG,32,ORL,27,6,25.6,3.3,8.2,0.398,1.1,3.4,0.319,2.2,4.8,0.454,0.464,2.3,2.6,0.9,0.4,2,2.5,4.7,0.7,0,1.4,1.2,9.9
19,Deandre Ayton,C,21,PHO,2,2,29,9,16.5,0.545,0,0,,9,16.5,0.545,0.545,0,0.5,0,5,6.5,11.5,1.5,0.5,2.5,1,2,18
20,Dwayne Bacon,SG,24,CHO,21,10,18.4,2.3,7.4,0.314,0.5,2,0.233,1.9,5.4,0.345,0.346,1,1.5,0.71,0.4,2,2.5,1.2,0.7,0.1,0.9,1.5,6.2
21,Marvin Bagley,PF,20,SAC,5,1,23.4,5.8,13,0.446,0.4,1.2,0.333,5.4,11.8,0.458,0.462,1.2,1.8,0.667,2.4,4.8,7.2,0.6,0.2,0.8,1.2,2.8,13.2
22,Lonzo Ball,PG,22,NOP,20,13,28.5,3.7,10,0.37,2,5.9,0.333,1.8,4.2,0.422,0.468,0.7,1.3,0.56,0.9,3.7,4.6,5.5,1.2,0.3,2.6,1.9,10.1
23,Mo Bamba,C,21,ORL,25,0,15.6,2.4,5.4,0.444,0.8,2,0.38,1.6,3.4,0.482,0.515,0.4,0.6,0.667,1.4,3.8,5.2,0.6,0.2,1.3,1.1,2.1,6
24,J.J. Barea,PG,35,DAL,7,0,13.9,3.6,8,0.446,1.7,3.1,0.545,1.9,4.9,0.382,0.554,0.3,0.3,1,0.3,1.4,1.7,3.1,0.3,0.1,0.7,0.7,9.1
25,Harrison Barnes,PF,27,SAC,27,27,35.5,5.5,12,0.458,1.3,3.9,0.343,4.2,8.1,0.514,0.514,3.6,4.4,0.8,1,4.2,5.2,2.3,0.8,0.2,1.5,1.2,15.9
26,RJ Barrett,SG,19,NYK,27,27,32.1,5.3,13.3,0.397,1,3.4,0.304,4.3,9.9,0.429,0.436,2.6,4.7,0.551,1.1,4.3,5.3,2.9,1.2,0.4,2.2,2.3,14.2
27,Will Barton,SF,29,DEN,23,23,32.6,5.7,12.4,0.458,1.9,4.5,0.413,3.8,7.9,0.484,0.533,1.7,2.3,0.722,1.6,5.2,6.8,3.4,1.1,0.4,1.3,2.1,15
28,Keita Bates-Diop,SF,24,MIN,13,0,18.5,2.7,5.2,0.515,1.3,2.8,0.472,1.4,2.5,0.563,0.64,0.5,0.8,0.6,0.5,2.2,2.6,0.6,0.3,0.5,0.4,1,7.2
29,Nicolas Batum,SF,31,CHO,14,0,21.9,1.1,3.3,0.348,0.6,2.4,0.273,0.5,0.9,0.538,0.446,0.4,0.4,1,1.1,3.1,4.2,3.1,0.8,0.5,1.4,1.9,3.3
30,Aron Baynes,C,33,PHO,18,12,22.4,5.1,9.3,0.542,1.7,4.3,0.385,3.4,5,0.678,0.631,1.7,2.4,0.721,1.4,3.9,5.3,2.3,0.3,0.8,1.2,4.1,13.5
